YEARS,RCP3,RCP4.5,RCP8
2020.109948,1.89,1.9,1.92
2025.21466,2.144578313,2.192771084,2.313253012
2029.926702,2.289156627,2.385542169,2.578313253
2035.031414,2.409638554,2.554216867,2.86746988
2040.136126,2.578313253,2.771084337,3.253012048
2045.240838,2.65060241,2.987951807,3.590361446
2049.95288,2.722891566,3.180722892,3.927710843
2055.057592,2.746987952,3.373493976,4.385542169
2060.162304,2.771084337,3.542168675,4.819277108
2064.874346,2.746987952,3.662650602,5.253012048
2069.979058,2.746987952,3.78313253,5.686746988
2075.08377,2.746987952,3.927710843,6.144578313
2080.188482,2.722891566,4.048192771,6.554216867
2084.900524,2.722891566,4.096385542,6.963855422
2090.005236,2.746987952,4.144578313,7.421686747
2095.109948,2.771084337,4.168674699,7.903614458
2100.21466,2.771084337,4.240963855,8.265060241
